"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"117","Italy","Veneto",19825,17027,2064,2020-07-27
"118","Italy","Abruzzo",3369,2790,472,2020-07-28
"119","Italy","Basilicata",449,374,28,2020-07-28
"120","Italy","Calabria",1252,1072,97,2020-07-28
"121","Italy","Campania",4955,4128,434,2020-07-28
"122","Italy","Emilia-Romagna",29575,23830,4286,2020-07-28
"123","Italy","Friuli Venezia Giulia",3375,2918,345,2020-07-28
"124","Italy","Lazio",8577,6773,862,2020-07-28
"125","Italy","Liguria",10177,8402,1566,2020-07-28
"126","Italy","Lombardia",96008,72528,16802,2020-07-28
"127","Italy","Marche",6838,5731,987,2020-07-28
"128","Italy","Molise",469,421,23,2020-07-28
"129","Italy","P.A. Bolzano",2692,2315,292,2020-07-28
"130","Italy","P.A. Trento",4966,4467,405,2020-07-28
"131","Italy","Piemonte",31622,26694,4127,2020-07-28
"132","Italy","Puglia",4596,3963,551,2020-07-28
"133","Italy","Sardegna",1392,1237,134,2020-07-28
"134","Italy","Sicilia",3215,2726,283,2020-07-28
"135","Italy","Toscana",10441,8944,1134,2020-07-28
"136","Italy","Umbria",1465,1368,80,2020-07-28
"137","Italy","Valle d'Aosta",1206,1049,146,2020-07-28
"138","Italy","Veneto",19849,17026,2069,2020-07-28
"139","Italy","Abruzzo",3373,2792,472,2020-07-29
"140","Italy","Basilicata",449,374,28,2020-07-29
"141","Italy","Calabria",1255,1072,97,2020-07-29
"142","Italy","Campania",4974,4132,434,2020-07-29
"143","Italy","Emilia-Romagna",29603,23865,4287,2020-07-29
"144","Italy","Friuli Venezia Giulia",3378,2921,345,2020-07-29
"145","Italy","Lazio",8611,6780,862,2020-07-29
"146","Italy","Liguria",10197,8434,1566,2020-07-29
"147","Italy","Lombardia",96054,72689,16802,2020-07-29
"148","Italy","Marche",6855,5738,987,2020-07-29
"149","Italy","Molise",470,421,23,2020-07-29
"150","Italy","P.A. Bolzano",2696,2318,292,2020-07-29
"151","Italy","P.A. Trento",4970,4467,405,2020-07-29
"152","Italy","Piemonte",31636,26707,4128,2020-07-29
"153","Italy","Puglia",4606,3963,551,2020-07-29
"154","Italy","Sardegna",1394,1237,134,2020-07-29
"155","Italy","Sicilia",3233,2726,283,2020-07-29
"156","Italy","Toscana",10458,8944,1134,2020-07-29
"157","Italy","Umbria",1465,1368,80,2020-07-29
"158","Italy","Valle d'Aosta",1208,1049,146,2020-07-29
"159","Italy","Veneto",19891,17034,2073,2020-07-29
"160","Italy","Abruzzo",3377,2799,472,2020-07-30
"161","Italy","Basilicata",449,374,28,2020-07-30
"162","Italy","Calabria",1262,1072,97,2020-07-30
"163","Italy","Campania",4990,4157,434,2020-07-30
"164","Italy","Emilia-Romagna",29634,23874,4289,2020-07-30
"165","Italy","Friuli Venezia Giulia",3391,2924,345,2020-07-30
"166","Italy","Lazio",8629,6829,863,2020-07-30
"167","Italy","Liguria",10210,8448,1566,2020-07-30
"168","Italy","Lombardia",96142,73305,16802,2020-07-30
"169","Italy","Marche",6863,5746,987,2020-07-30
"170","Italy","Molise",470,421,23,2020-07-30
"171","Italy","P.A. Bolzano",2702,2318,292,2020-07-30
"172","Italy","P.A. Trento",4973,4467,405,2020-07-30
"173","Italy","Piemonte",31646,26728,4128,2020-07-30
"174","Italy","Puglia",4609,3964,551,2020-07-30
"175","Italy","Sardegna",1394,1237,134,2020-07-30
"176","Italy","Sicilia",3272,2730,283,2020-07-30
"177","Italy","Toscana",10469,8946,1134,2020-07-30
"178","Italy","Umbria",1465,1368,80,2020-07-30
"179","Italy","Valle d'Aosta",1208,1050,146,2020-07-30
"180","Italy","Veneto",20003,17039,2073,2020-07-30
"181","Italy","Abruzzo",3382,2799,472,2020-07-31
"182","Italy","Basilicata",452,374,28,2020-07-31
"183","Italy","Calabria",1266,1072,97,2020-07-31
"184","Italy","Campania",4999,4169,435,2020-07-31
"185","Italy","Emilia-Romagna",29670,23885,4289,2020-07-31
"186","Italy","Friuli Venezia Giulia",3394,2927,345,2020-07-31
"187","Italy","Lazio",8647,6839,863,2020-07-31
"188","Italy","Liguria",10214,8447,1567,2020-07-31
"189","Italy","Lombardia",96219,73402,16806,2020-07-31
"190","Italy","Marche",6884,5750,987,2020-07-31
"191","Italy","Molise",471,421,23,2020-07-31
"192","Italy","P.A. Bolzano",2717,2323,292,2020-07-31
"193","Italy","P.A. Trento",4975,4470,405,2020-07-31
"194","Italy","Piemonte",31667,26739,4129,2020-07-31
"195","Italy","Puglia",4611,3964,552,2020-07-31
"196","Italy","Sardegna",1404,1237,134,2020-07-31
"197","Italy","Sicilia",3288,2730,283,2020-07-31
"198","Italy","Toscana",10483,8962,1134,2020-07-31
"199","Italy","Umbria",1466,1368,80,2020-07-31
"200","Italy","Valle d'Aosta",1208,1050,146,2020-07-31
"201","Italy","Veneto",20120,17046,2074,2020-07-31
"202","Italy","Abruzzo",3387,2800,472,2020-08-01
"203","Italy","Basilicata",452,374,28,2020-08-01
"204","Italy","Calabria",1269,1075,97,2020-08-01
"205","Italy","Campania",5009,4177,435,2020-08-01
"206","Italy","Emilia-Romagna",29726,23925,4291,2020-08-01
"207","Italy","Friuli Venezia Giulia",3401,2927,345,2020-08-01
"208","Italy","Lazio",8665,6852,863,2020-08-01
"209","Italy","Liguria",10230,8450,1567,2020-08-01
"210","Italy","Lombardia",96274,73512,16807,2020-08-01
"211","Italy","Marche",6889,5758,987,2020-08-01
"212","Italy","Molise",473,421,23,2020-08-01
"213","Italy","P.A. Bolzano",2725,2326,292,2020-08-01
"214","Italy","P.A. Trento",4975,4471,405,2020-08-01
"215","Italy","Piemonte",31683,26753,4129,2020-08-01
"216","Italy","Puglia",4631,3967,552,2020-08-01
"217","Italy","Sardegna",1410,1237,134,2020-08-01
"218","Italy","Sicilia",3298,2734,283,2020-08-01
"219","Italy","Toscana",10489,8962,1135,2020-08-01
"220","Italy","Umbria",1472,1368,80,2020-08-01
"221","Italy","Valle d'Aosta",1208,1050,146,2020-08-01
"222","Italy","Veneto",20166,17090,2075,2020-08-01
"223","Italy","Abruzzo",3389,2801,472,2020-08-02
"224","Italy","Basilicata",453,374,28,2020-08-02
"225","Italy","Calabria",1270,1075,97,2020-08-02
"226","Italy","Campania",5016,4180,435,2020-08-02
"227","Italy","Emilia-Romagna",29774,23943,4291,2020-08-02
"228","Italy","Friuli Venezia Giulia",3411,2929,345,2020-08-02
"229","Italy","Lazio",8682,6855,863,2020-08-02
"230","Italy","Liguria",10236,8453,1567,2020-08-02
"231","Italy","Lombardia",96312,73676,16815,2020-08-02
"232","Italy","Marche",6897,5763,987,2020-08-02
"233","Italy","Molise",475,421,23,2020-08-02
"234","Italy","P.A. Bolzano",2728,2329,292,2020-08-02
"235","Italy","P.A. Trento",4979,4475,405,2020-08-02
"236","Italy","Piemonte",31698,26759,4129,2020-08-02
"237","Italy","Puglia",4639,3967,552,2020-08-02
"238","Italy","Sardegna",1414,1237,134,2020-08-02
"239","Italy","Sicilia",3305,2737,283,2020-08-02
"240","Italy","Toscana",10498,8966,1135,2020-08-02
"241","Italy","Umbria",1474,1368,80,2020-08-02
"242","Italy","Valle d'Aosta",1209,1050,146,2020-08-02
"243","Italy","Veneto",20211,17102,2075,2020-08-02
"244","Italy","Abruzzo",3398,2802,472,2020-08-03
"245","Italy","Basilicata",453,374,28,2020-08-03
"246","Italy","Calabria",1270,1075,97,2020-08-03
"247","Italy","Campania",5020,4187,436,2020-08-03
"248","Italy","Emilia-Romagna",29808,23957,4291,2020-08-03
"249","Italy","Friuli Venezia Giulia",3411,2929,346,2020-08-03
"250","Italy","Lazio",8697,6859,864,2020-08-03
"251","Italy","Liguria",10238,8475,1568,2020-08-03
"252","Italy","Lombardia",96337,73724,16818,2020-08-03
"253","Italy","Marche",6897,5770,987,2020-08-03
"254","Italy","Molise",477,421,23,2020-08-03
"255","Italy","P.A. Bolzano",2734,2330,292,2020-08-03
"256","Italy","P.A. Trento",4981,4476,405,2020-08-03
"257","Italy","Piemonte",31711,26767,4131,2020-08-03
"258","Italy","Puglia",4648,3970,553,2020-08-03
"259","Italy","Sardegna",1416,1238,134,2020-08-03
"260","Italy","Sicilia",3308,2737,283,2020-08-03
"261","Italy","Toscana",10508,8974,1136,2020-08-03
"262","Italy","Umbria",1475,1368,80,2020-08-03
"263","Italy","Valle d'Aosta",1209,1050,146,2020-08-03
"264","Italy","Veneto",20233,17106,2076,2020-08-03
"265","Italy","Abruzzo",3401,2804,472,2020-08-04
"266","Italy","Basilicata",453,374,28,2020-08-04
"267","Italy","Calabria",1272,1076,97,2020-08-04
"268","Italy","Campania",5022,4194,436,2020-08-04
"269","Italy","Emilia-Romagna",29850,23978,4291,2020-08-04
"270","Italy","Friuli Venezia Giulia",3416,2932,346,2020-08-04
"271","Italy","Lazio",8714,6863,864,2020-08-04
"272","Italy","Liguria",10243,8475,1568,2020-08-04
"273","Italy","Lombardia",96381,73810,16819,2020-08-04
"274","Italy","Marche",6899,5773,987,2020-08-04
"275","Italy","Molise",477,421,23,2020-08-04
"276","Italy","P.A. Bolzano",2740,2330,292,2020-08-04
"277","Italy","P.A. Trento",4983,4490,405,2020-08-04
"278","Italy","Piemonte",31719,26789,4132,2020-08-04
"279","Italy","Puglia",4655,3971,553,2020-08-04
"280","Italy","Sardegna",1418,1239,134,2020-08-04
"281","Italy","Sicilia",3318,2741,284,2020-08-04
"282","Italy","Toscana",10519,8977,1137,2020-08-04
"283","Italy","Umbria",1477,1368,80,2020-08-04
"284","Italy","Valle d'Aosta",1209,1050,146,2020-08-04
"285","Italy","Veneto",20253,17111,2077,2020-08-04
"286","Italy","Abruzzo",3420,2808,472,2020-08-05
"287","Italy","Basilicata",454,373,28,2020-08-05
"288","Italy","Calabria",1274,1076,97,2020-08-05
"289","Italy","Campania",5030,4198,438,2020-08-05
"290","Italy","Emilia-Romagna",29897,23997,4291,2020-08-05
"291","Italy","Friuli Venezia Giulia",3425,2932,346,2020-08-05
"292","Italy","Lazio",8726,6878,865,2020-08-05
"293","Italy","Liguria",10250,8475,1568,2020-08-05
"294","Italy","Lombardia",96519,73872,16824,2020-08-05
"295","Italy","Marche",6905,5781,987,2020-08-05
"296","Italy","Molise",478,421,23,2020-08-05
"297","Italy","P.A. Bolzano",2745,2337,292,2020-08-05
"298","Italy","P.A. Trento",4984,4500,405,2020-08-05
"299","Italy","Piemonte",31740,26826,4134,2020-08-05
"300","Italy","Puglia",4678,3973,553,2020-08-05
"301","Italy","Sardegna",1427,1240,134,2020-08-05
"302","Italy","Sicilia",3339,2741,284,2020-08-05
"303","Italy","Toscana",10530,8978,1137,2020-08-05
"304","Italy","Umbria",1479,1369,80,2020-08-05
"305","Italy","Valle d'Aosta",1209,1051,146,2020-08-05
"306","Italy","Veneto",20294,17150,2077,2020-08-05
"307","Italy","Abruzzo",3435,2810,472,2020-08-06
"308","Italy","Basilicata",454,373,28,2020-08-06
"309","Italy","Calabria",1276,1088,97,2020-08-06
"310","Italy","Campania",5035,4212,438,2020-08-06
"311","Italy","Emilia-Romagna",29954,24011,4291,2020-08-06
"312","Italy","Friuli Venezia Giulia",3432,2933,346,2020-08-06
"313","Italy","Lazio",8744,6886,865,2020-08-06
"314","Italy","Liguria",10263,8485,1568,2020-08-06
"315","Italy","Lombardia",96637,74080,16829,2020-08-06
"316","Italy","Marche",6914,5786,987,2020-08-06
"317","Italy","Molise",478,421,23,2020-08-06
"318","Italy","P.A. Bolzano",2757,2341,292,2020-08-06
"319","Italy","P.A. Trento",4988,4503,405,2020-08-06
"320","Italy","Piemonte",31762,26849,4135,2020-08-06
"321","Italy","Puglia",4685,3974,553,2020-08-06
"322","Italy","Sardegna",1430,1241,134,2020-08-06
"323","Italy","Sicilia",3369,2743,284,2020-08-06
"324","Italy","Toscana",10547,8985,1137,2020-08-06
"325","Italy","Umbria",1482,1373,80,2020-08-06
"326","Italy","Valle d'Aosta",1210,1051,146,2020-08-06
"327","Italy","Veneto",20352,17178,2077,2020-08-06
"328","Italy","Abruzzo",3474,2812,472,2020-08-07
"329","Italy","Basilicata",475,373,28,2020-08-07
"330","Italy","Calabria",1283,1089,97,2020-08-07
"331","Italy","Campania",5050,4240,438,2020-08-07
"332","Italy","Emilia-Romagna",30008,24041,4292,2020-08-07
"333","Italy","Friuli Venezia Giulia",3436,2935,346,2020-08-07
"334","Italy","Lazio",8764,6891,865,2020-08-07
"335","Italy","Liguria",10272,8488,1568,2020-08-07
"336","Italy","Lombardia",96706,74232,16829,2020-08-07
"337","Italy","Marche",6935,5790,987,2020-08-07
"338","Italy","Molise",479,421,23,2020-08-07
"339","Italy","P.A. Bolzano",2761,2341,292,2020-08-07
"340","Italy","P.A. Trento",4992,4505,405,2020-08-07
"341","Italy","Piemonte",31799,26871,4136,2020-08-07
"342","Italy","Puglia",4696,3973,553,2020-08-07
"343","Italy","Sardegna",1433,1241,134,2020-08-07
"344","Italy","Sicilia",3396,2743,284,2020-08-07
"345","Italy","Toscana",10560,8988,1137,2020-08-07
"346","Italy","Umbria",1488,1375,80,2020-08-07
"347","Italy","Valle d'Aosta",1214,1051,146,2020-08-07
"348","Italy","Veneto",20535,17242,2078,2020-08-07
"349","Italy","Abruzzo",3486,2817,472,2020-08-08
"350","Italy","Basilicata",476,373,28,2020-08-08
"351","Italy","Calabria",1287,1089,97,2020-08-08
"352","Italy","Campania",5055,4245,438,2020-08-08
"353","Italy","Emilia-Romagna",30052,24046,4294,2020-08-08
"354","Italy","Friuli Venezia Giulia",3442,2936,346,2020-08-08
"355","Italy","Lazio",8784,6901,866,2020-08-08
"356","Italy","Liguria",10276,8493,1569,2020-08-08
"357","Italy","Lombardia",96782,74403,16832,2020-08-08
"358","Italy","Marche",6938,5795,987,2020-08-08
"359","Italy","Molise",479,421,23,2020-08-08
"360","Italy","P.A. Bolzano",2766,2351,292,2020-08-08
"361","Italy","P.A. Trento",4993,4509,405,2020-08-08
"362","Italy","Piemonte",31830,26904,4136,2020-08-08
"363","Italy","Puglia",4705,3973,554,2020-08-08
"364","Italy","Sardegna",1433,1245,134,2020-08-08
"365","Italy","Sicilia",3424,2743,284,2020-08-08
"366","Italy","Toscana",10583,8989,1137,2020-08-08
"367","Italy","Umbria",1498,1376,80,2020-08-08
"368","Italy","Valle d'Aosta",1216,1051,146,2020-08-08
