"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"104","United Kingdom","",55242,135,6159,2020-04-07
"105","United Kingdom","Anguilla",3,0,0,2020-04-08
"106","United Kingdom","Bermuda",39,23,3,2020-04-08
"107","United Kingdom","British Virgin Islands",3,0,0,2020-04-08
"108","United Kingdom","Cayman Islands",45,6,1,2020-04-08
"109","United Kingdom","Channel Islands",351,38,8,2020-04-08
"110","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-08
"111","United Kingdom","Gibraltar",120,60,0,2020-04-08
"112","United Kingdom","Isle of Man",158,82,1,2020-04-08
"113","United Kingdom","Montserrat",9,0,0,2020-04-08
"114","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-08
"115","United Kingdom","",60733,135,7097,2020-04-08
"116","United Kingdom","Anguilla",3,0,0,2020-04-09
"117","United Kingdom","Bermuda",48,25,4,2020-04-09
"118","United Kingdom","British Virgin Islands",3,0,0,2020-04-09
"119","United Kingdom","Cayman Islands",45,6,1,2020-04-09
"120","United Kingdom","Channel Islands",361,40,8,2020-04-09
"121","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-09
"122","United Kingdom","Gibraltar",123,60,0,2020-04-09
"123","United Kingdom","Isle of Man",190,92,1,2020-04-09
"124","United Kingdom","Montserrat",9,0,0,2020-04-09
"125","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-09
"126","United Kingdom","",65077,135,7978,2020-04-09
"127","United Kingdom","Anguilla",3,0,0,2020-04-10
"128","United Kingdom","Bermuda",48,25,4,2020-04-10
"129","United Kingdom","British Virgin Islands",3,0,0,2020-04-10
"130","United Kingdom","Cayman Islands",45,6,1,2020-04-10
"131","United Kingdom","Channel Islands",398,40,9,2020-04-10
"132","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-10
"133","United Kingdom","Gibraltar",127,69,0,2020-04-10
"134","United Kingdom","Isle of Man",201,103,1,2020-04-10
"135","United Kingdom","Montserrat",9,0,0,2020-04-10
"136","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-10
"137","United Kingdom","",73758,344,8958,2020-04-10
"138","United Kingdom","Anguilla",3,0,0,2020-04-11
"139","United Kingdom","Bermuda",48,25,4,2020-04-11
"140","United Kingdom","British Virgin Islands",3,2,0,2020-04-11
"141","United Kingdom","Cayman Islands",45,6,1,2020-04-11
"142","United Kingdom","Channel Islands",407,48,9,2020-04-11
"143","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-11
"144","United Kingdom","Gibraltar",129,84,0,2020-04-11
