"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"110","United Kingdom","Cayman Islands",39,1,1,2020-04-06
"111","United Kingdom","Channel Islands",323,27,7,2020-04-06
"112","United Kingdom","Falkland Islands (Islas Malvinas)",2,0,0,2020-04-06
"113","United Kingdom","Gibraltar",109,52,0,2020-04-06
"114","United Kingdom","Isle of Man",139,55,1,2020-04-06
"115","United Kingdom","Montserrat",6,0,0,2020-04-06
"116","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-06
"117","Germany","",103374,28700,1810,2020-04-06
"118","Italy","",132547,22837,16523,2020-04-06
"119","Switzerland","",21657,8056,765,2020-04-06
"120","United Kingdom","",51608,135,5373,2020-04-06
"121","United Kingdom","Anguilla",3,0,0,2020-04-07
"122","United Kingdom","Bermuda",39,17,2,2020-04-07
"123","United Kingdom","British Virgin Islands",3,0,0,2020-04-07
"124","United Kingdom","Cayman Islands",45,6,1,2020-04-07
"125","United Kingdom","Channel Islands",335,34,7,2020-04-07
"126","United Kingdom","Falkland Islands (Malvinas)",2,0,0,2020-04-07
"127","United Kingdom","Gibraltar",113,60,0,2020-04-07
"128","United Kingdom","Isle of Man",150,73,1,2020-04-07
"129","United Kingdom","Montserrat",9,0,0,2020-04-07
"130","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-07
"131","Germany","",107663,36081,2016,2020-04-07
"132","Italy","",135586,24392,17127,2020-04-07
"133","Switzerland","",22253,8704,821,2020-04-07
"134","United Kingdom","",55242,135,6159,2020-04-07
"135","United Kingdom","Anguilla",3,0,0,2020-04-08
"136","United Kingdom","Bermuda",39,23,3,2020-04-08
"137","United Kingdom","British Virgin Islands",3,0,0,2020-04-08
"138","United Kingdom","Cayman Islands",45,6,1,2020-04-08
"139","United Kingdom","Channel Islands",351,38,8,2020-04-08
"140","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-08
"141","United Kingdom","Gibraltar",120,60,0,2020-04-08
"142","United Kingdom","Isle of Man",158,82,1,2020-04-08
"143","United Kingdom","Montserrat",9,0,0,2020-04-08
"144","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-08
"145","Germany","",113296,46300,2349,2020-04-08
"146","Italy","",139422,26491,17669,2020-04-08
"147","Switzerland","",23280,9800,895,2020-04-08
"148","United Kingdom","",60733,135,7097,2020-04-08
"149","United Kingdom","Anguilla",3,0,0,2020-04-09
"150","United Kingdom","Bermuda",48,25,4,2020-04-09
"151","United Kingdom","British Virgin Islands",3,0,0,2020-04-09
"152","United Kingdom","Cayman Islands",45,6,1,2020-04-09
"153","United Kingdom","Channel Islands",361,40,8,2020-04-09
"154","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-09
"155","United Kingdom","Gibraltar",123,60,0,2020-04-09
"156","United Kingdom","Isle of Man",190,92,1,2020-04-09
"157","United Kingdom","Montserrat",9,0,0,2020-04-09
"158","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-09
"159","Germany","",118181,52407,2607,2020-04-09
"160","Italy","",143626,28470,18279,2020-04-09
"161","Switzerland","",24051,10600,948,2020-04-09
"162","United Kingdom","",65077,135,7978,2020-04-09
"163","United Kingdom","Anguilla",3,0,0,2020-04-10
"164","United Kingdom","Bermuda",48,25,4,2020-04-10
"165","United Kingdom","British Virgin Islands",3,0,0,2020-04-10
"166","United Kingdom","Cayman Islands",45,6,1,2020-04-10
"167","United Kingdom","Channel Islands",398,40,9,2020-04-10
"168","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-10
"169","United Kingdom","Gibraltar",127,69,0,2020-04-10
"170","United Kingdom","Isle of Man",201,103,1,2020-04-10
"171","United Kingdom","Montserrat",9,0,0,2020-04-10
"172","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-10
"173","Germany","",122171,53913,2767,2020-04-10
"174","Italy","",147577,30455,18849,2020-04-10
"175","Switzerland","",24551,11100,1002,2020-04-10
"176","United Kingdom","",73758,344,8958,2020-04-10
"177","United Kingdom","Anguilla",3,0,0,2020-04-11
"178","United Kingdom","Bermuda",48,25,4,2020-04-11
"179","United Kingdom","British Virgin Islands",3,2,0,2020-04-11
"180","United Kingdom","Cayman Islands",45,6,1,2020-04-11
"181","United Kingdom","Channel Islands",407,48,9,2020-04-11
"182","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-11
"183","United Kingdom","Gibraltar",129,84,0,2020-04-11
"184","United Kingdom","Isle of Man",226,112,2,2020-04-11
"185","United Kingdom","Montserrat",9,0,0,2020-04-11
"186","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-11
"187","Germany","",124908,57400,2736,2020-04-11
"188","Italy","",152271,32534,19468,2020-04-11
